BusinessPartner,Customer,Supplier,AcademicTitle,AuthorizationGroup,BusinessPartnerCategory,BusinessPartnerFullName,BusinessPartnerGrouping,BusinessPartnerName,BusinessPartnerUUID,CorrespondenceLanguage,CreatedByUser,CreationDate,CreationTime,FirstName,FormOfAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,IsFemale,IsMale,IsNaturalPerson,IsSexUnknown,GenderCodeName,Language,LastChangeDate,LastChangeTime,LastChangedByUser,LastName,LegalForm,OrganizationBPName1,OrganizationBPName2,OrganizationBPName3,OrganizationBPName4,OrganizationFoundationDate,OrganizationLiquidationDate,SearchTerm1,SearchTerm2,AdditionalLastName,BirthDate,BusinessPartnerBirthDateStatus,BusinessPartnerBirthplaceName,BusinessPartnerDeathDate,BusinessPartnerIsBlocked,BusinessPartnerType,ETag,GroupBusinessPartnerName1,GroupBusinessPartnerName2,IndependentAddressID,InternationalLocationNumber3,MiddleName,NameCountry,NameFormat,PersonFullName,PersonNumber,IsMarkedForArchiving,BusinessPartnerIDByExtSystem,BusinessPartnerPrintFormat,BusinessPartnerOccupation,BusPartMaritalStatus,BusPartNationality,BusinessPartnerBirthName,BusinessPartnerSupplementName,NaturalPersonEmployerName,LastNamePrefix,LastNameSecondPrefix,Initials,BPDataControllerIsNotRequired,TradingPartner
r-10280214,r-10280214,r-10280214,0214,0214,4,BusinessPartnerFullName-10280214,0214,BusinessPartnerName-10280214,10280214-3297-476d-816c-16eb214b4761,14,ser-10280214,2019-04-01,22:59:53,FirstName-10280214,0214,y-10280214,0280214,80214,true,true,4,true,4,14,2021-02-05,22:59:53,ser-10280214,LastName-10280214,14,OrganizationBPName1-10280214,OrganizationBPName2-10280214,OrganizationBPName3-10280214,OrganizationBPName4-10280214,2013-02-02,2014-08-02,SearchTerm1-10280214,SearchTerm2-10280214,AdditionalLastName-10280214,2007-01-06,4,BusinessPartnerBirthplaceName-10280214,2000-06-28,true,0214,ETag-10280214,GroupBusinessPartnerName1-10280214,GroupBusinessPartnerName2-10280214,D-10280214,4,MiddleName-10280214,214,14,PersonFullName-10280214,r-10280214,true,ByExtSystem-10280214,4,0214,4,214,BusinessPartnerBirthName-10280214,0214,NaturalPersonEmployerName-10280214,0214,0214,s-10280214,true,280214
r-10280215,r-10280215,r-10280215,0215,0215,5,BusinessPartnerFullName-10280215,0215,BusinessPartnerName-10280215,10280215-b27f-4e57-b46a-3d71de2b80e3,15,ser-10280215,2018-06-14,22:59:53,FirstName-10280215,0215,y-10280215,0280215,80215,false,false,5,false,5,15,2015-10-09,22:59:53,ser-10280215,LastName-10280215,15,OrganizationBPName1-10280215,OrganizationBPName2-10280215,OrganizationBPName3-10280215,OrganizationBPName4-10280215,2009-07-23,2020-11-26,SearchTerm1-10280215,SearchTerm2-10280215,AdditionalLastName-10280215,2008-04-22,5,BusinessPartnerBirthplaceName-10280215,2023-12-03,false,0215,ETag-10280215,GroupBusinessPartnerName1-10280215,GroupBusinessPartnerName2-10280215,D-10280215,5,MiddleName-10280215,215,15,PersonFullName-10280215,r-10280215,false,ByExtSystem-10280215,5,0215,5,215,BusinessPartnerBirthName-10280215,0215,NaturalPersonEmployerName-10280215,0215,0215,s-10280215,false,280215
r-10280216,r-10280216,r-10280216,0216,0216,6,BusinessPartnerFullName-10280216,0216,BusinessPartnerName-10280216,10280216-7500-4218-860e-3fc7674f5324,16,ser-10280216,2005-04-22,22:59:53,FirstName-10280216,0216,y-10280216,0280216,80216,true,true,6,true,6,16,2013-10-06,22:59:53,ser-10280216,LastName-10280216,16,OrganizationBPName1-10280216,OrganizationBPName2-10280216,OrganizationBPName3-10280216,OrganizationBPName4-10280216,2005-08-08,2006-05-06,SearchTerm1-10280216,SearchTerm2-10280216,AdditionalLastName-10280216,2009-11-14,6,BusinessPartnerBirthplaceName-10280216,2021-11-06,true,0216,ETag-10280216,GroupBusinessPartnerName1-10280216,GroupBusinessPartnerName2-10280216,D-10280216,6,MiddleName-10280216,216,16,PersonFullName-10280216,r-10280216,true,ByExtSystem-10280216,6,0216,6,216,BusinessPartnerBirthName-10280216,0216,NaturalPersonEmployerName-10280216,0216,0216,s-10280216,true,280216
r-10280217,r-10280217,r-10280217,0217,0217,7,BusinessPartnerFullName-10280217,0217,BusinessPartnerName-10280217,10280217-ba2d-499d-a1f5-0a24eeb47489,17,ser-10280217,2019-05-18,22:59:53,FirstName-10280217,0217,y-10280217,0280217,80217,false,false,7,false,7,17,2002-12-24,22:59:53,ser-10280217,LastName-10280217,17,OrganizationBPName1-10280217,OrganizationBPName2-10280217,OrganizationBPName3-10280217,OrganizationBPName4-10280217,2014-03-15,2007-01-30,SearchTerm1-10280217,SearchTerm2-10280217,AdditionalLastName-10280217,2010-03-22,7,BusinessPartnerBirthplaceName-10280217,2017-07-16,false,0217,ETag-10280217,GroupBusinessPartnerName1-10280217,GroupBusinessPartnerName2-10280217,D-10280217,7,MiddleName-10280217,217,17,PersonFullName-10280217,r-10280217,false,ByExtSystem-10280217,7,0217,7,217,BusinessPartnerBirthName-10280217,0217,NaturalPersonEmployerName-10280217,0217,0217,s-10280217,false,280217
r-10280218,r-10280218,r-10280218,0218,0218,8,BusinessPartnerFullName-10280218,0218,BusinessPartnerName-10280218,10280218-9891-4632-bdbe-c68f01c029c0,18,ser-10280218,2003-05-14,22:59:53,FirstName-10280218,0218,y-10280218,0280218,80218,true,true,8,true,8,18,2015-01-24,22:59:53,ser-10280218,LastName-10280218,18,OrganizationBPName1-10280218,OrganizationBPName2-10280218,OrganizationBPName3-10280218,OrganizationBPName4-10280218,2007-01-01,2009-11-14,SearchTerm1-10280218,SearchTerm2-10280218,AdditionalLastName-10280218,2009-11-01,8,BusinessPartnerBirthplaceName-10280218,2003-06-26,true,0218,ETag-10280218,GroupBusinessPartnerName1-10280218,GroupBusinessPartnerName2-10280218,D-10280218,8,MiddleName-10280218,218,18,PersonFullName-10280218,r-10280218,true,ByExtSystem-10280218,8,0218,8,218,BusinessPartnerBirthName-10280218,0218,NaturalPersonEmployerName-10280218,0218,0218,s-10280218,true,280218
r-10280219,r-10280219,r-10280219,0219,0219,9,BusinessPartnerFullName-10280219,0219,BusinessPartnerName-10280219,10280219-8792-45a2-a266-c6a87f96719f,19,ser-10280219,2002-05-02,22:59:53,FirstName-10280219,0219,y-10280219,0280219,80219,false,false,9,false,9,19,2008-10-04,22:59:53,ser-10280219,LastName-10280219,19,OrganizationBPName1-10280219,OrganizationBPName2-10280219,OrganizationBPName3-10280219,OrganizationBPName4-10280219,2015-08-16,2000-09-10,SearchTerm1-10280219,SearchTerm2-10280219,AdditionalLastName-10280219,2009-07-14,9,BusinessPartnerBirthplaceName-10280219,2017-07-14,false,0219,ETag-10280219,GroupBusinessPartnerName1-10280219,GroupBusinessPartnerName2-10280219,D-10280219,9,MiddleName-10280219,219,19,PersonFullName-10280219,r-10280219,false,ByExtSystem-10280219,9,0219,9,219,BusinessPartnerBirthName-10280219,0219,NaturalPersonEmployerName-10280219,0219,0219,s-10280219,false,280219
r-10280220,r-10280220,r-10280220,0220,0220,0,BusinessPartnerFullName-10280220,0220,BusinessPartnerName-10280220,10280220-5562-4743-a411-69f61c8f9c18,20,ser-10280220,2005-09-05,22:59:53,FirstName-10280220,0220,y-10280220,0280220,80220,true,true,0,true,0,20,2019-04-09,22:59:53,ser-10280220,LastName-10280220,20,OrganizationBPName1-10280220,OrganizationBPName2-10280220,OrganizationBPName3-10280220,OrganizationBPName4-10280220,2019-09-07,2002-08-20,SearchTerm1-10280220,SearchTerm2-10280220,AdditionalLastName-10280220,2013-08-26,0,BusinessPartnerBirthplaceName-10280220,2008-08-30,true,0220,ETag-10280220,GroupBusinessPartnerName1-10280220,GroupBusinessPartnerName2-10280220,D-10280220,0,MiddleName-10280220,220,20,PersonFullName-10280220,r-10280220,true,ByExtSystem-10280220,0,0220,0,220,BusinessPartnerBirthName-10280220,0220,NaturalPersonEmployerName-10280220,0220,0220,s-10280220,true,280220
r-10280221,r-10280221,r-10280221,0221,0221,1,BusinessPartnerFullName-10280221,0221,BusinessPartnerName-10280221,10280221-0ac2-4349-9833-468d633a2e00,21,ser-10280221,2019-11-21,22:59:53,FirstName-10280221,0221,y-10280221,0280221,80221,false,false,1,false,1,21,2011-01-31,22:59:53,ser-10280221,LastName-10280221,21,OrganizationBPName1-10280221,OrganizationBPName2-10280221,OrganizationBPName3-10280221,OrganizationBPName4-10280221,2000-10-05,2016-05-31,SearchTerm1-10280221,SearchTerm2-10280221,AdditionalLastName-10280221,2006-10-13,1,BusinessPartnerBirthplaceName-10280221,2020-07-01,false,0221,ETag-10280221,GroupBusinessPartnerName1-10280221,GroupBusinessPartnerName2-10280221,D-10280221,1,MiddleName-10280221,221,21,PersonFullName-10280221,r-10280221,false,ByExtSystem-10280221,1,0221,1,221,BusinessPartnerBirthName-10280221,0221,NaturalPersonEmployerName-10280221,0221,0221,s-10280221,false,280221
r-10280222,r-10280222,r-10280222,0222,0222,2,BusinessPartnerFullName-10280222,0222,BusinessPartnerName-10280222,10280222-ef1a-4bc5-98fa-490e1aafa0a2,22,ser-10280222,2012-06-23,22:59:53,FirstName-10280222,0222,y-10280222,0280222,80222,true,true,2,true,2,22,2001-02-27,22:59:53,ser-10280222,LastName-10280222,22,OrganizationBPName1-10280222,OrganizationBPName2-10280222,OrganizationBPName3-10280222,OrganizationBPName4-10280222,2012-03-13,2019-06-25,SearchTerm1-10280222,SearchTerm2-10280222,AdditionalLastName-10280222,2015-04-21,2,BusinessPartnerBirthplaceName-10280222,2020-02-06,true,0222,ETag-10280222,GroupBusinessPartnerName1-10280222,GroupBusinessPartnerName2-10280222,D-10280222,2,MiddleName-10280222,222,22,PersonFullName-10280222,r-10280222,true,ByExtSystem-10280222,2,0222,2,222,BusinessPartnerBirthName-10280222,0222,NaturalPersonEmployerName-10280222,0222,0222,s-10280222,true,280222
r-10280223,r-10280223,r-10280223,0223,0223,3,BusinessPartnerFullName-10280223,0223,BusinessPartnerName-10280223,10280223-5a6e-4b8a-81b1-214fd9021012,23,ser-10280223,2021-03-10,22:59:53,FirstName-10280223,0223,y-10280223,0280223,80223,false,false,3,false,3,23,2023-08-02,22:59:53,ser-10280223,LastName-10280223,23,OrganizationBPName1-10280223,OrganizationBPName2-10280223,OrganizationBPName3-10280223,OrganizationBPName4-10280223,2011-06-15,2000-06-21,SearchTerm1-10280223,SearchTerm2-10280223,AdditionalLastName-10280223,2014-12-22,3,BusinessPartnerBirthplaceName-10280223,2009-04-25,false,0223,ETag-10280223,GroupBusinessPartnerName1-10280223,GroupBusinessPartnerName2-10280223,D-10280223,3,MiddleName-10280223,223,23,PersonFullName-10280223,r-10280223,false,ByExtSystem-10280223,3,0223,3,223,BusinessPartnerBirthName-10280223,0223,NaturalPersonEmployerName-10280223,0223,0223,s-10280223,false,280223
